COMUNE;OSS;ATT
ASIGLIANO VERCELLESE;33;31.33
ALBANO VERCELLESE;12;7.5
ALICE CASTELLO;35;51.33
ARBORIO;26;22.67
BIANZè;54;49.33
BORGO D'ALE;42;59.33
BORGO VERCELLI;33;41.17
BURONZO;19;22.17
CARESANA;27;27.67
CARESANABLOT;15;14.63
CARISIO;7;17.97
CASANOVA ELVO;7;4.82
CIGLIANO;88;90
COLLOBIANO;1;2.43
COSTANZANA;21;24.17
CROVA;9;10.5
DESANA;32;24.5
FORMIGLIANA;8;9.5
GREGGIO;11;9.78
LENTA;12;18.67
LIGNANA;17;10.5
LIVORNO FERRARIS;76;82.67
MONCRIVELLO;27;34.83
MOTTA DE' CONTI;28;22.5
OLCENENGO;14;14.83
OLDENICO;6;5.17
PERTENGO;5;6.5
PEZZANA;30;23.17
PRAROLO;12;10.17
QUINTO VERCELLESE;10;7.33
RIVE;14;10.33
RONSECCO;13;15.5
SALASCO;2;5.13
SALI VERCELLESE;1;3.17
SAN GERMANO VERCELLESE;49;35.33
SAN GIACOMO VERCELLESE;4;8.8
SANTHIà;179;166.67
STROPPIANA;35;25.5
TRICERRO;16;16.5
TRONZANO VERCELLESE;73;73.17
VERCELLI;902;898.33
VILLARBOIT;14;12.67
VILLATA;37;34.33
ALAGNA VALSESIA;6;3.2
BALMUCCIA;4;1.7
BALOCCO;7;1.2
BOCCIOLETO;5;1.9
BORGOSESIA;87;69
BREIA;8;4.5
CAMPERTOGNO;3;1.9
CARCOFORO;6;5.8
CELLIO;3;2.1
CERVATTO;4;3.5
CIVIASCO;3;2.9
CRAVAGLIANA;3;2.7
CRESCENTINO;45;34
FOBELLO;4;2.5
FONTANETTO PO;23;16.7
GATTINARA;76;65.4
GHISLARENGO;43;32.1
GUARDABOSONE;12;14.5
LAMPORO;2;1.2
LOZZOLO;2.8;1.5
MOLLIA;4;3.6
PALAZZOLO VERCELLESE;13;10.1
PILA;3;1.4
PIODE;4.5;3.1
POSTUA;3.2;1.7
QUARONA;54;43
RASSA;3;3.6
RIMA SAN GIUSEPPE;6.4;5.1
RIMASCO;4.3;7.4
RIMELLA;3.8;1.7
RIVA VALDOBBIA;6.7;4.3
ROASIO;23;19.3
ROSSA;4;4.7
ROVASENDA;17;13.2
SABBIA;7;3.8
SALUGGIA;75;56
SCOPA;15;8
SCOPELLO;6;4.3
SERRAVALLE SESIA;35;22.6
TRINO;68;43.2
VALDUGGIA;19;14.3
VARALLO;57;43.1
VOCCA;5;3.7
